title,number,public_data,state,deal_data,text,url
['地铁1号线同沙公园站点怎么还没有动工'],['编号：239658'],['发布日期2020-03-21 11:27:09'],['待处理'],['等待处理：29天4小时27分'],['您好！目前我市地铁1号线建设如火如荼，但是没有看到同沙公园站点建设，很多资料也查不到该站点了，以前的规划是有这一站点呀，是取消了吗？'],http://wz.sun0769.com/political/politics/index?id=447594
['东莞虎门怀德龙锦金属制品厂私自建滚镀锌生产线，废水直排，环境污染严重！'],['编号：239669'],['发布日期2020-03-21 12:41:07'],['待处理'],['等待处理：29天4小时27分'],['东莞市龙锦金属制品有限公司位于虎门镇怀德社区雅瑶村平山厂房，公司私自建设滚镀锌生产线，废水直排，没有环评资格，环境污染严重，影响群众饮水和生命安全，请求从速从严处理！'],http://wz.sun0769.com/political/politics/index?id=447603
['关于东莞石排镇廉租公寓（人才公寓）收停车费不提供正规发票'],['编号：239667'],['发布日期2020-03-21 12:53:32'],['待处理'],['等待处理：29天4小时27分'],['东莞石排镇廉租公寓（人才公寓）只顾收停车费，不能提供正规停车收费发票，涉嫌偷税漏税，麻烦税务局跟进。'],http://wz.sun0769.com/political/politics/index?id=447605
['养生馆套路深，强推各种套餐，并且售出以后不接受退单'],['编号：239626'],['发布日期2020-03-20 22:22:04'],['待处理'],['等待处理：29天4小时27分'],['本人在2019年9月24号在厚街君汇时代广场2楼凝生堂养生馆购买一个足疗套餐，套餐内容是48次足疗，价格是2400元.在做足疗5次以后，店面又强推我办理背部和腹部按摩，一个套餐要4800元。然后在做了2次按摩以后，店面又强推做一个被腿部套餐3600元，腿部套餐1次都没有做过，由于多次按摩下来发现一点都没有效果，于是去店面请求退单。店面提出由于套餐优惠，不接受退单，如果必须退单，需要提供医生开具的皮肤过敏证明才可以退款。并且退单不能按照套餐价格退，需要单次价格退。'],http://wz.sun0769.com/political/politics/index?id=447542
['简沙州翠怡居想家便利店正月初二到现在没停过老板娘每天电话微信召集人打麻将赌博，都从来没人开查封过。'],['编号：239625'],['发布日期2020-03-20 22:56:53'],['待处理'],['等待处理：29天4小时27分'],['万江街道简沙州翠怡居想家便利店正月初二到现在没停过老板娘每天电话微信召集人打麻将赌博从来没见过来查封'],http://wz.sun0769.com/political/politics/index?id=447550
['关于公司裁员赔付问题'],['编号：239624'],['发布日期2020-03-20 23:07:07'],['待处理'],['等待处理：29天4小时27分'],['因疫情影响公司决定裁员35%，①二月薪资公司发放标准1-9号按照个人薪资标准发，10-29号如非个人原因无法复工的按照东莞市底薪1720标准，复工的按照个人薪资标准发。 ②公司向人社部提出缩编申请后，请问赔付标准是按照N+1劳动法规定的赔付吗？③合同在公司手上，只要有社保缴纳和银行流水就能证明工作关系和薪资标准吗？③赔付薪资标准是按照个人薪水赔付吗？在现阶段国家会因扶持企业降低赔付标准吗？④目前入户东莞，失业金是按照入户前一次结清，入户后半年领一个月，逐月到社区签到领取吗？⑤户籍属东莞厚街，每月能领多少失业金？'],http://wz.sun0769.com/political/politics/index?id=447551
['外省回东莞的隔离问题'],['编号：239618'],['发布日期2020-03-20 22:41:23'],['待处理'],['等待处理：29天4小时27分'],['请问东莞何时可以通用健康码？我们在家隔离都快两个月了。回到东莞却还要隔离了才可以上班？'],http://wz.sun0769.com/political/politics/index?id=447548
['投诉雅园新村的停车场设置不合理和保安不作为'],['编号：239631'],['发布日期2020-03-20 23:22:50'],['待处理'],['等待处理：29天4小时27分'],['雅园新村作为一个廉租房小区，车位一直都是很紧张，经常是从晚上7点开始 1号门前面已经有一条等候进场的临时车龙，为了缓解这种等候状况，雅园方面也设置了多个停车场供临时车辆停放，其中包括了1号门到2号门之间商户门前的停车位，这本来是好事，但是由于设置出入口的不合理，导致晚上在1号门口等候进去园区的临时车把商户停车场的入口堵死，有些根本不想进园区的车辆根本无法进入这个停车场，这不是变相的导致了资源浪费吗？而且1号门的保安明显是看到这种状况的，根本无作为，也没有拦一下，让想进入商户停车场的车主先上去一下，任由这种情况发展，导致1号门前经常堵车，本人建议：将2号门前的出口改为入口，因为2号门没要进园区的临时车堵路，或者在1号门前设置路障，留一条车道给先进去商户停车位的车辆驶入。'],http://wz.sun0769.com/political/politics/index?id=447554
['关于上东国际地下停车场渗水或将引发住房倒塌风险的投诉'],['编号：239623'],['发布日期2020-03-20 22:24:21'],['待处理'],['等待处理：29天4小时27分'],['自2019年东莞地铁一号线施工后，上东国际花园三栋地下停车场不明原因出现渗水成渠，一直未消停。上东业主多次向碧桂园物业管理服务中心、上东国际业委会、中铁五局反映问题，要求查明原因，明确提示存在引发地陷导致三栋住房楼倒塌的风险隐患，但一直未见有处理方案，渗水问题一直未解决。\r\n       三栋共有住户102户，每户人家4-6人，另有一楼为商铺区。时值疫情期间，学生、婴幼儿、老人均宅在家，中青年有些尚未复工。住户集中在家，一旦出现楼房倒塌，后果不堪设想。多少条人命！\r\n       类似案例，有杭州地铁5号钱建国北路施工地发生渗漏水导致路面坍塌，伴随部分燃气泄漏出现滚滚浓烟的高危风险事件。\r\n       上东渗水问题已有业主在3月上旬致电12345申诉请求解决，申诉编码：0820031122552292501。\r\n       请贵局责成有关部门尽快勘察原因，解决问题，以防后患'],http://wz.sun0769.com/political/politics/index?id=447543
['新冠肺炎期间2020年3月份领取失业险要不要到社保局签到'],['编号：239621'],['发布日期2020-03-20 22:31:14'],['待处理'],['等待处理：29天4小时27分'],['新冠肺炎期间2020年3月，2020年4月领取失业要不要到社保局签到，因为本人还在四川老家。'],http://wz.sun0769.com/political/politics/index?id=447546
['1号线3期工程规划报批进度如何'],['编号：239619'],['发布日期2020-03-20 22:52:56'],['待处理'],['等待处理：29天4小时27分'],['深圳6号线支线建设如火如荼，在此咨询与之对接的1号线3期工程规划报批进度如何？\r\n2号线3期工程已列入今年预备项目，计划在明年开工；1号线3期的建设次序是早于还是晚于2号线3期工程？'],http://wz.sun0769.com/political/politics/index?id=447549
['违法用地'],['编号：239636'],['发布日期2020-03-21 00:55:32'],['待处理'],['等待处理：29天4小时27分'],['塘厦石潭埔碧桂园旁的空地被违法占用作为堆沙场，给周边居民造成影响'],http://wz.sun0769.com/political/politics/index?id=447560
['噪音扰民'],['编号：239638'],['发布日期2020-03-21 01:39:58'],['待处理'],['等待处理：29天4小时27分'],['万江胜利社区龙湾美食广场的炭烧牛杂店半夜顾客大声喧哗。在居民区怎么可以开夜宵摊呢？'],http://wz.sun0769.com/political/politics/index?id=447561
['石排镇康联达租金上涨'],['编号：239649'],['发布日期2020-03-21 08:48:50'],['待处理'],['等待处理：29天4小时27分'],['尊敬的东莞市政府：我所反映的是石排镇石排大道燕窝康联达工贸中心，自2017年一间120平米左右的毛坯宿舍改造的写字楼（无装修），以202平米的面积8元承租给我们，3年合同到期，立即增加租赁面积为256平米，今年又以合同到期为由，直接将租金升级为18元，导致微型企业不负重扛啊，在所有人在为疫情出力的情况下，物业部经理还是一如既往的加租，多次沟通无效，只有向您诉苦，请明察秋毫，谢谢！'],http://wz.sun0769.com/political/politics/index?id=447569
['疫情期间工资'],['编号：239650'],['发布日期2020-03-21 08:18:13'],['待处理'],['等待处理：29天4小时27分'],['我是湖北湖北籍东莞务工人员，去年春回湖北过年后因疫情原因被困至老家至今都不得返岗复工，目前我所在地所有公共交通工具都还未开通，无法回莞。请问人社局：为配合国家疫情防控而不能到岗复工的湖北籍务工人员，对误工期间的工资待遇，东莞有没有出台相关政策文件？'],http://wz.sun0769.com/political/politics/index?id=447568
['三轮车整冶突出问题'],['编号：239634'],['发布日期2020-03-21 06:46:16'],['待处理'],['等待处理：29天4小时27分'],['东莞市塘厦镇三轮车非法经营情况突出～三轮车数量不断增多～且无牌无证上路现象突出～乱载客等现象严重～严重影响了道路交通秩序～交通安全隐患异常突出。为规范道路交通秩序～预防重特大道路交通事故发生～依据《中华人民共和国道路交通安全法》、《中华人民共和国道路安全法实施条例》，塘厦镇塘厦天桥公交站一带附近三轮车存在恶意骚扰拉客行为，社会风气影响十分严重，而且乱收费，10元起步，无论多远，都是10元，明显欺诈，隐瞒消费者知情权，必须做到落地有地，稳准狠。稳打稳抓。令行禁止。'],http://wz.sun0769.com/political/politics/index?id=447564
['噪音扰民'],['编号：239648'],['发布日期2020-03-21 09:13:22'],['待处理'],['等待处理：29天4小时27分'],['领导，你好！\r\n寮步镇横坑社区杨梅园新村九巷29.31.32号，（因为房子靠的比较近，无法判定哪家）重点好像在29号，每天早上从5点多至7点多钟，持续有风筒发出的“烘烘烘”的声音，很大很吵，并伴随有阵阵烤猪皮的味道，（不知是不是在违法处理死猪肉）导致周边住户从5点多起无法入睡，这种噪音已持续半年之久，周边租客基本都是工厂工作员工，每晚下班已经很晚，早上又无法入睡，很影响身体健康，请领导安排人调查处理，不能再让他们噪音扰民下去，万分感谢。'],http://wz.sun0769.com/political/politics/index?id=447570
['东阳光旁沙涌河3月20～21号水质黑色，味道刺鼻'],['编号：239639'],['发布日期2020-03-21 07:36:39'],['待处理'],['等待处理：29天4小时27分'],['东阳光旁沙涌河今年以来水质一直较好，也没有大的味道；这里感谢政府的大力治理！\r\n    但3月20号开始到现在水质变黑，味道刺鼻，请及时了解和查找原因及采取有效的改善行动；\r\n    建议沙涌河仍然和前几年一样，考虑早/晚开闸放入海水冲洗河道，这样水流动起来治理黑臭效果会更好。'],http://wz.sun0769.com/political/politics/index?id=447566
['2月延迟上班是否有工资'],['编号：239601'],['发布日期2020-03-20 17:31:12'],['待处理'],['等待处理：29天4小时27分'],['因为新冠疫情，企业到10号才复工，请问1-9号无上班是否应发工资'],http://wz.sun0769.com/political/politics/index?id=447513
['湖北返回东莞大朗是否需要隔离？'],['编号：239596'],['发布日期2020-03-20 18:43:33'],['待处理'],['等待处理：29天4小时27分'],['在湖北已经隔离两个月，有绿码，有接收证明，回来还需要隔离吗？'],http://wz.sun0769.com/political/politics/index?id=447518
['公共场地被餐厅霸占停车位'],['编号：239600'],['发布日期2020-03-20 17:34:18'],['待处理'],['等待处理：29天4小时27分'],['樟木头镇南城大道上名为一家“大炮土菜馆”的参观，私自把门前以及侧边的公共区域私自霸占，使用铁链和铁架把位置占为己有。餐厅还贴有 非用餐车辆停靠需交停车费10元一小时。实在难以接受，请问这是否在合法合理手段吗？'],http://wz.sun0769.com/political/politics/index?id=447514
['孕妇牙根痛求助'],['编号：239610'],['发布日期2020-03-20 20:31:43'],['待处理'],['等待处理：29天4小时27分'],['本人是二十九周的孕妇，从过年到现在受牙龈肿痛牙根痛引响，清溪人民医院说疫情不给处理，只开了漱口水用。过去一个多月了胎儿偏小无法好好进食，实在受不了了。请有关部门帮忙处理下！'],http://wz.sun0769.com/political/politics/index?id=447532
['关于东莞20号离鄂返莞隔离文件，20号之前返莞隔离14天，20号只隔离7天的问题。'],['编号：239598'],['发布日期2020-03-20 18:15:17'],['待处理'],['等待处理：29天4小时27分'],['现在虎门一个社区都几百人都是之前回来的，隔离了好多天了，被告知要隔离14天，20号回来才7天就可以，为什么先回来的，还要隔离更久，分明就是安排文件没考虑到情况。希望尽快发布政策让我们能迅速投入为东莞的建设中，尽快正常工作和生活。'],http://wz.sun0769.com/political/politics/index?id=447516
['存量公积金延期不能办理'],['编号：239602'],['发布日期2020-03-20 19:49:47'],['待处理'],['等待处理：29天4小时27分'],['根据《东莞市住房公积金个人住房贷款管理办法》可办理存量公积金延期至30年，多次询问建行办理网点，均被告知未收到公积金中心通知，不能办理，对此给市民造成的损失，请公积金中心回应什么原因不能办理，什么时候可以办理'],http://wz.sun0769.com/political/politics/index?id=447524
['投诉厚街房地产公司不作为'],['编号：239605'],['发布日期2020-03-20 19:55:50'],['待处理'],['等待处理：29天4小时27分'],['康乐楼B座1单元，2单元，3单，4单元，5单元，每月每平方收费1.2管理费，但是连基本的卫生都不做。现在疫情这么严重，为什么作为厚街房地产公司的管理会这么差，相关物业管理人员难道都没有上班吗？如果上班为何卫生这样都看不见。'],http://wz.sun0769.com/political/politics/index?id=447525
['竹溪小学入读问题'],['编号：239594'],['发布日期2020-03-20 19:19:48'],['待处理'],['等待处理：29天4小时27分'],['请问满足哪些资质可以就读竹溪小学'],http://wz.sun0769.com/political/politics/index?id=447520
['来自湖北低风险地区的已在隔离中的人'],['编号：239609'],['发布日期2020-03-20 20:49:42'],['待处理'],['等待处理：29天4小时27分'],['请问清溪政府和防疫主管领导们，我们从湖北回来已在居家隔离中的湖北低风险地区的人，什么时候才能解除隔离，一定要老人老方法吗？我们早来的人也是想早点恢复生产生活。为什么我们20号前来的人还是要居家隔离14天，而20号之后的人只隔离3天跟7天？湖北人除了武汉市都是低风险地区的人，为什么不能享受同样的政策。我们也想早点下来早复工，为什么却还要分成几种情况？科学依据是什么？'],http://wz.sun0769.com/political/politics/index?id=447533
['立沙新区第三期房子，入住第一天就发现渗水问题，向物业反映，物业不作为'],['编号：239608'],['发布日期2020-03-20 21:07:22'],['待处理'],['等待处理：29天4小时27分'],['立沙新区第三期的房子质量问题谁来买单？在抽签后的一年也就是2019年10月份入住第一天发现地板渗水问题，向物业反映此问题，物业派工作人员到家里检查后说是的是漏水就走了，在后面打电话物业就说房子只有两个月的保修期，在分到房子后，两个月内没发现漏水，现在才发现不负责，如果房子是我入住很久才漏水这个亏自己吃了就算了，但是我分明就没有住，可以查水表电表作证，而且入住第一天就发现这个问题就立刻反映了，结果竟然得到了如此无赖地回复，此后因为物业也一直做冷处理，无人问津，无视我家这个问题，过了大半年了，现在渗水实在是太严重了，再次去到管理处找物业谈这个问题，物业负责人竟然说出我知道你家漏水阿，立沙新区的房子已经过了5年，我们不会修的，这种话，前后话语不一致，以前说只有2个月一直拖着时间，现在就说已经过了5年，要我们自己负责自己修，但是这房子距离我抽签拿到房子到现在未到两年，我是在抽签后签合同后的一年入住，入住第一天就渗水了，水表电表可以查到房子此前一直无人入住，身为物业竟然如此无赖，甚至还和住在我家楼下的住户说如果我家漏水影响到他的话，就去找律师告我家。我就想知道到底还有没有王法，房子本身就是漏水的，墙面也因为渗水问题全部鼓起来，现在家里到处都是水，甚至到楼下都反映说漏水到影响到他们。。。而且立沙新区物业一直就有施工队会处理各家漏水问题，现在却无视我家这个问题，难道修理漏水也要有人脉有关系才能修吗???请问相关部门，现在各方都表示不会负责，甚至在我家去管理处找他们解决问题的时候，为了不负责出主意让楼下人家找律师告我家，我们只是普通百姓，还不容易有个房子，一入住就有问题，我们该何去何从？本来这个疫情就收入很困难，却还要遭遇如此事情，希望有关部门能帮帮我们，帮助我们处理这个问题，谢谢！'],http://wz.sun0769.com/political/politics/index?id=447534
['天价二手房评估费和办证费是否合理合法'],['编号：239607'],['发布日期2020-03-20 21:26:46'],['待处理'],['等待处理：29天4小时27分'],['长安镇买二手房，中介说要给房屋评估费和办证服务费。其中100万内价格房屋评估费按房屋价格千分之五收取，超过100万部分按千分之2.5，另外办证费收2000元，整体加起来将近10000元，对于一般工薪层，真是一笔不小的费用。\r\n    请问国家对于评估费有没有明确的规定的标准，评估公司收费标准是否合理， 像公积金每套贷款评估最多不超过2000元，而这种商业贷款的评估费用如此高昂，这样是否合理？\r\n   请政府相关部门答疑，此类问题有无监管，回复为盼。'],http://wz.sun0769.com/political/politics/index?id=447536
['X9线涉嫌飞站'],['编号：239627'],['发布日期2020-03-20 22:15:56'],['待处理'],['等待处理：29天4小时27分'],['2020年3月20日晚上约8:55，在第一国际北站，X9线（往榴花车站方向）涉嫌“飞站”。'],http://wz.sun0769.com/political/politics/index?id=447541
['关于“珠江人寿领多多年金保险”咨询'],['编号：239606'],['发布日期2020-03-20 21:13:44'],['待处理'],['等待处理：29天4小时27分'],['珠江人寿领多多年金保险，其主要方式为分5年缴满10万（每年2万），满5年后，每年大概有4%左右的利息，当首年缴纳2万元后，出现购买人因经济能力无法继续缴纳的情况，但只能赎回14652元（损失5348元），这对于经济拮据的购买人来说，无疑是重大损失，因办理此项业务的为东莞农村商业银行工作人员，以为钱存在银行很安全，所以当时也未在意这部分内容，并且是先交钱过几天后拿到的合同'],http://wz.sun0769.com/political/politics/index?id=447535
['罗马罗群埔安置地报建'],['编号：239611'],['发布日期2020-03-20 21:35:59'],['待处理'],['等待处理：29天4小时27分'],['现在村里说罗群埔从莞高速征地的安置地村委已全部报建了，是吗？现在是否补交资料就可以吗？请详情说明一下。'],http://wz.sun0769.com/political/politics/index?id=447537
['罗马罗群埔安置地问题'],['编号：239633'],['发布日期2020-03-20 21:37:16'],['待处理'],['等待处理：29天4小时27分'],['罗马罗群埔安置地报建手续补交资料是否有期限？'],http://wz.sun0769.com/political/politics/index?id=447538
['公交车60路走环城路40公里/小时龟速前行'],['编号：239604'],['发布日期2020-03-20 17:30:13'],['待处理'],['等待处理：29天4小时27分'],['公交车60路走环城路龟速前行，全程不超过40公里/小时，前面路空荡荡也一样的速度，占着一条车道慢悠悠地走，后面车只有变道惟恐避之不及。之前20分钟的路程，这样开到40分钟。年后都是这样的速度了，这条路线全部车都是一样，这是要集体摆工的节奏吗？'],http://wz.sun0769.com/political/politics/index?id=447512
['投诉光明二路车主拿雪糕筒霸占公共停车位的自私行为'],['编号：239570'],['发布日期2020-03-20 16:21:28'],['待处理'],['等待处理：29天4小时27分'],['在东城光明社区政务服务中心附近的光明二路，本来是有大量公共停车位，现在被部分自私的车主用雪糕筒或者石墩给霸占据为己有。有时车子整天不在，雪糕桶一直摆在那里，导致附近居民无位可停，造成资源浪费。如果其他车主强行把雪糕筒拿掉停车，霸占车位的车主就会暗地给别人轮胎的气放掉，行为极其恶劣。恳请相关单位能好好规范这些行为，要么就要求他们缴纳月租费用，要么就撤掉雪糕筒，把公共资源归还给大众，公共车位就要先到先得。'],http://wz.sun0769.com/political/politics/index?id=447491
['生育津贴和报销'],['编号：239575'],['发布日期2020-03-20 16:40:09'],['待处理'],['等待处理：29天4小时27分'],['老婆在东莞工作，在老家的生的孩子，生育的费用怎么报销？生育津贴怎么领取？需要准备什么材料？'],http://wz.sun0769.com/political/politics/index?id=447495
['违法搭建搭棚屋'],['编号：239584'],['发布日期2020-03-20 17:00:54'],['待处理'],['等待处理：29天4小时27分'],['在望牛墩镇朱平沙村口，正对面违法搭建多年，没能整改，土地性质改变'],http://wz.sun0769.com/political/politics/index?id=447499
['建议八达路停车位改为超时收费管理'],['编号：239576'],['发布日期2020-03-20 16:34:23'],['待处理'],['等待处理：29天4小时27分'],['目前八达路铺位门口停车位长期被车辆霸占，一停就整天、几天、甚至10天半月不动。导致真正来采购的市民无位可停，还时常被摄像头拍违停！客户来一次怕一次，客源逐渐变少，商家苦不堪言。\r\n    为提高公共车位资源的有效周转率，便利大家，保障道路畅通，建议政府将目前不限时免费停车改为超时收费管理（譬如一小时内免费），这对改善八达路商圈经营环境将是件大好事。'],http://wz.sun0769.com/political/politics/index?id=447494
['松山湖2019年的GDP会公布吗？'],['编号：239571'],['发布日期2020-03-20 16:21:04'],['已受理'],['等待回复：29天21小时8分'],['请问松山湖2019年GDP至今没公布，请问是什么原因呢？后面有公布的计划吗？谢谢'],http://wz.sun0769.com/political/politics/index?id=447489
['居家隔离'],['编号：239577'],['发布日期2020-03-20 16:34:00'],['已回复'],['处理用时：1小时32分'],"['东莞誉称为世界工厂，我们新莞人为东莞的建设付出无数计的辛勤付出和努力。我们湖北新莞人恳请东莞政府的领导，能为持有健康绿码的低风险人员敞开绿灯，取消对我们低风险人员的隔离要求，让我们能迅速投入为东莞的建设中。正常的工作和生活。同时也为东莞政府减轻负担。感谢', '您好！感谢您的意见和建议，我们抓紧研究，确保疫情防控与复工复产两手抓，敬请留意我市的最新要求，祝您身体健康！']",http://wz.sun0769.com/political/politics/index?id=447493
['异地换驾驶证'],['编号：239579'],['发布日期2020-03-20 17:03:41'],['待处理'],['等待处理：29天4小时27分'],['四川的核发的驾驶证，能在东莞换证吗？'],http://wz.sun0769.com/political/politics/index?id=447501
['违建'],['编号：239583'],['发布日期2020-03-20 17:02:55'],['待处理'],['等待处理：29天4小时27分'],['位于塘厦镇石马新围路8号在建房，超过报建证面积建设，请相关部门查处，已经是违建，'],http://wz.sun0769.com/political/politics/index?id=447500
['光华燃气管道煤气为何如此坚挺？'],['编号：239578'],['发布日期2020-03-20 17:04:17'],['已受理'],['等待回复：29天22小时28分'],['国际原油价格以跌到20美元附近，创历史新低，为何东莞市兴华燃气公司的管道煤气一直坚挺维持在17.5元一立方，汽油价格都有调价机制，管道煤气为何迟迟不下调？管道煤气价格是哪个部门定的还是企业闷头赚大钱？民生问题才是最大的问题！！！请有关部门解答，谢谢！！！'],http://wz.sun0769.com/political/politics/index?id=447502
['速尔快递拖欠工资'],['编号：239588'],['发布日期2020-03-20 17:25:41'],['待处理'],['等待处理：29天4小时27分'],['位于东莞市虎门镇小捷滘金丰工业区的速尔快递公司至今为止，工资只发放到19年10月份，19年10月份的工资还只发放了2000元，然后迄今为止没有收到一分钱得工资，工资发放也是遥遥无期，请各执法者帮忙跟进，不要让欠薪者逍遥自在，我们底层一百多员工生活不易！'],http://wz.sun0769.com/political/politics/index?id=447509
['石龙人民广场仍然存在聚赌！！'],['编号：239589'],['发布日期2020-03-20 17:22:13'],['待处理'],['等待处理：29天4小时27分'],['之前举报过一次~\r\n最近每天都发现人民广场有人聚赌，一般都是两群人，在人民广场旁边的凳子那里毒扑克，一头一尾，一群靠近建设银行一群靠近俊彦文具。可以说每天都可以看见，因为看到他们有有人看风，不敢拍照呢~\r\n就算下雨天他们也会出没......\r\n很影响风气啊！\r\n希望有关部门整治下。\r\n他们出没的时间大概都是中午12-晚上6点吧，反正我上班下班都能看见他们在那里！'],http://wz.sun0769.com/political/politics/index?id=447508
['封路关卡事宜'],['编号：239587'],['发布日期2020-03-20 17:26:20'],['待处理'],['等待处理：29天4小时27分'],['如图所示，南环路右转楚记皮具市场的路口，之前由于疫情问题封路，出入可走南环路与吉祥路交界路口，和西环路与永泰路交界路口。但现在南环路与吉祥路交界路口，和西环路与永泰路交界路口2处关卡均与取消了，中间已不能形成封闭了。南环路右转楚记皮具市场的路口可否取消封闭状态？'],http://wz.sun0769.com/political/politics/index?id=447510
